name,salary_from,salary_to,salary_currency,area_name,published_at
GR-менеджер,150000,,RUR,Москва,2022-12-20T00:18:19+0300
DevOps инженер / Администратор Linux (удаленно),140000,160000,RUR,Новосибирск,2022-12-20T00:11:45+0300
Дизайнер интерьеров,50000,100000,RUR,Хабаровск,2022-12-20T01:09:01+0300
Менеджер по маркетплейсам,25000,50000,RUR,Воронеж,2022-12-20T01:03:12+0300
Chief Product Officer (стрим ДМС),,,,Москва,2022-12-20T01:08:02+0300
Специалист технической поддержки,30000,,RUR,Пушкино (Московская область),2022-12-20T01:09:00+0300
Менеджер по продажам ПО,35000,200000,RUR,Пушкино (Московская область),2022-12-20T01:09:06+0300
Оператор (аппаратчик) в цех приготовления продукции,30000,40000,RUR,Елец,2022-12-20T01:09:01+0300
Менеджер по продажам кухонь / дизайнер мебели,40000,120000,RUR,Самара,2022-12-20T01:11:00+0300
Администратор ИТ и ИТБ,45000,50000,RUR,Южно-Сахалинск,2022-12-20T01:50:00+0300
Разработчик под iOS (Swift),150000,230000,RUR,Санкт-Петербург,2022-12-20T02:56:50+0300
Разработчик под Android (Kotlin),150000,300000,RUR,Санкт-Петербург,2022-12-20T02:57:09+0300
Системный администратор,60000,,RUR,Чита,2022-12-20T02:05:23+0300
Бизнес-аналитик,500000,,KZT,Алматы,2022-12-20T03:57:25+0300
Специалист в области информационных технологий,13000,30000,RUR,Благовещенск (Амурская область),2022-12-20T02:42:51+0300
Главный механик технологического оборудования,75000,80000,RUR,Красноярск,2022-12-20T03:49:21+0300
Инженер,12000,30000,RUR,Благовещенск (Амурская область),2022-12-20T02:42:22+0300
Мастер газового хозяйства,70000,75000,RUR,Находка,2022-12-20T02:10:22+0300
Ведущий инженер (информационная безопасность),15000,35000,RUR,Благовещенск (Амурская область),2022-12-20T02:43:26+0300
Инженер (информационная безопасность),11000,24000,RUR,Благовещенск (Амурская область),2022-12-20T02:43:10+0300
Инженер-программист,85000,,RUR,Южно-Сахалинск,2022-12-20T02:19:43+0300
Механик транспортной службы,46000,,RUR,Краснокаменск,2022-12-20T02:23:14+0300
Слесарь-механик по ремонту автомобилей предприятия (неполный день),22000,22000,RUR,Биробиджан,2022-12-20T03:42:56+0300
Дизайнер карточек для маркетплейсов (подработка),15000,,RUR,Томск,2022-12-20T05:51:26+0300
3Д визуализатор,,,,Новосибирск,2022-12-20T05:11:31+0300
Продукт-менеджер (Product manager),500000,1000000,KZT,Алматы,2022-12-20T05:59:13+0300
Веб-разработчик,70000,100000,RUR,Санкт-Петербург,2022-12-20T04:31:19+0300
3D-Визуализатор интерьера (удаленно),,,,Барнаул,2022-12-20T05:14:00+0300
Программист 1C,50000,100000,RUR,Назарово,2022-12-20T05:52:48+0300
Архитектор 1С,170000,175000,RUR,Новокузнецк,2022-12-20T05:11:01+0300
Системный администратор (Инженер-электронщик),45000,,RUR,Новокузнецк,2022-12-20T05:51:55+0300
Механик,150000,,RUR,Красноярск,2022-12-20T05:23:36+0300
Разработчик С/C++ (Linux),,,,Новосибирск,2022-12-20T04:52:30+0300
Шлифовщик,,,,Красноярск,2022-12-20T05:27:16+0300
Разработчик радиоэлектронных устройств,50000,,RUR,Омск,2022-12-20T05:31:15+0300
Механик цеха,65000,,RUR,Новокузнецк,2022-12-20T04:30:58+0300
Руководитель отдела разработки программного обеспечения,200000,250000,RUR,Екатеринбург,2022-12-20T05:34:08+0300
Сервисный инженер / Инженер-наладчик,70000,,RUR,Новосибирск,2022-12-20T04:11:51+0300
Программист 1C,50000,100000,RUR,Сосновоборск,2022-12-20T05:55:09+0300
Фронтенд-разработчик React (Middle),,,,Томск,2022-12-20T05:12:25+0300
Стажер сервисного отдела,,,,Новосибирск,2022-12-20T04:52:04+0300
Программист 1C,50000,100000,RUR,Норильск,2022-12-20T05:51:30+0300
Механик (спецтехника),80000,,RUR,Новосибирск,2022-12-20T05:14:37+0300
Программист 1C,50000,100000,RUR,Боготол,2022-12-20T05:50:53+0300
Токарь-универсал,120000,,RUR,Оренбург,2022-12-20T05:44:59+0300
Старший инженер технической поддержки,50000,,RUR,Новосибирск,2022-12-20T05:14:26+0300
Техник,38000,,RUR,Красноярск,2022-12-20T04:15:48+0300
Техник по комплексному обслуживанию и ремонту зданий,60000,,RUR,Новосибирск,2022-12-20T04:55:00+0300
Токарь,40000,,RUR,Омск,2022-12-20T05:12:15+0300
Специалист техподдержки 1С,,,,Екатеринбург,2022-12-20T04:52:45+0300
Программист 1C,60000,100000,RUR,Красноярск,2022-12-20T05:48:07+0300
Архитектор 1С,170000,175000,RUR,Прокопьевск,2022-12-20T05:10:55+0300
Архитектор 1С,170000,175000,RUR,Кемерово,2022-12-20T05:10:50+0300
Токарь,60000,,RUR,Барнаул,2022-12-20T04:57:28+0300
Ведущий разработчик C# (Senior),,,,Томск,2022-12-20T05:12:29+0300
Программист 1C,50000,100000,RUR,Абан,2022-12-20T05:51:12+0300
Системный администратор,50000,,RUR,Искитим,2022-12-20T05:03:20+0300
Ученик оператора станков с ЧПУ,35000,,RUR,Новокузнецк,2022-12-20T04:31:11+0300
Инженер по наладке и испытаниям,,,,Караганда,2022-12-20T05:07:11+0300
Системный администратор,,,,Кемерово,2022-12-20T05:19:16+0300
Шлифовщик,125000,,RUR,Челябинск,2022-12-20T05:53:32+0300
"Сборщик панелей (СИП, ППУ, ППС)",40000,,RUR,Артемовский (Свердловская область),2022-12-20T05:55:25+0300
Программист 1C,50000,100000,RUR,Канск,2022-12-20T05:52:29+0300
Инженер по подключению и сопровождению корпоративных клиентов,60000,,RUR,Якутск,2022-12-20T05:15:34+0300
Backend-разработчик,50000,,RUR,Челябинск,2022-12-20T05:42:59+0300
Оператор станков с программным управлением,45000,,RUR,Томск,2022-12-20T04:05:17+0300
Системный администратор,,36000,RUR,Новосибирск,2022-12-20T05:16:43+0300
Арт-менеджер,80460,91954,RUR,Южно-Сахалинск,2022-12-20T04:24:44+0300
Шлифовщик,125000,,RUR,Чебоксары,2022-12-20T05:53:32+0300
Токарь-универсал,120000,,RUR,Уфа,2022-12-20T05:44:59+0300
Ведущий инженер сетей передачи данных ЦОД,86000,,RUR,Новосибирск,2022-12-20T05:14:43+0300
"Начальник СТО, грузовой сервис",70000,,RUR,Барнаул,2022-12-20T05:54:59+0300
Фрезеровщик,93000,,RUR,Новосибирск,2022-12-20T05:47:24+0300
Менеджер по продукту,130000,,RUR,Хабаровск,2022-12-20T04:09:12+0300
Токарь-универсал,120000,,RUR,Нижний Новгород,2022-12-20T05:43:11+0300
Программист 1C,50000,100000,RUR,Шарыпово,2022-12-20T05:49:14+0300
Бизнес-аналитик ЦФТ-Банк,,,,Самара,2022-12-20T05:53:38+0300
Токарь-универсал,120000,,RUR,Самара,2022-12-20T05:44:59+0300
Фрезеровщик,120000,,RUR,Ростов-на-Дону,2022-12-20T05:48:27+0300
"Инженер по слаботочным системам (СКС, ОПС, СКУД)",65000,,RUR,Екатеринбург,2022-12-20T05:55:30+0300
